Code,Date,T0,T0.5,Dose Rate (mg/L),CHCl3,CHCl2Br,CHClBr2,CHBr3,TTHM,pH,COND,Turb,Cl,Br,COLOUR,FOC,UVA
SW16,13/05/2020,5.3,5.2,5.5,9,21,39,27,96,7.84,72,1,170,0.32,1,1.5,0.016
SW16,13/05/2020,9.4,9.4,9.6,14,28,39,19,100,7.84,72,1,170,0.32,1,1.5,0.016
SW17,5/11/2019,0.87,0.57,0.91,1,2,11,55,68,7.99,66,0.3,155,0.36,1,1.6,0.018
SW17,5/11/2019,1.7,1.32,1.7,1,8,34,97,140,7.99,66,0.3,155,0.36,1,1.6,0.018
SW17,5/11/2019,3.6,3.4,4,6,22,60,58,150,7.99,66,0.3,155,0.36,1,1.6,0.018
SW17,5/11/2019,5.9,4.9,6,9,31,64,44,150,7.99,66,0.3,155,0.36,1,1.6,0.018
SW17,5/11/2019,9.2,8,10,16,40,60,33,150,7.99,66,0.3,155,0.36,1,1.6,0.018
SW18,5/11/2020,0.98,0.72,0.98,1,3,13,44,60,8.14,66,0.41,160,0.34,1,1.4,0.015
SW18,5/11/2020,1.8,1.58,1.8,1,8,28,45,82,8.14,66,0.41,160,0.34,1,1.4,0.015
SW18,5/11/2020,3.9,3.6,3.9,3,16,37,34,90,8.14,66,0.41,160,0.34,1,1.4,0.015
SW18,5/11/2020,5.8,5.8,5.8,5,21,39,29,94,8.14,66,0.41,160,0.34,1,1.4,0.015
SW18,5/11/2020,9.8,9.4,9.8,10,24,40,24,98,8.14,66,0.41,160,0.34,1,1.4,0.015
GW23,30/10/2019,0.96,0.79,0.94,1,1,1,1,4,7.83,235,1.1,625,1.8,3,1.5,0.04
GW23,30/10/2019,2,1.61,2,1,1,3,7,11,7.83,235,1.1,625,1.8,3,1.5,0.04
GW23,30/10/2019,4.2,0.7,4.1,1,3,8,55,66,7.83,235,1.1,625,1.8,3,1.5,0.04
GW23,30/10/2019,6.3,2.6,6.1,1,5,19,160,180,7.83,235,1.1,625,1.8,3,1.5,0.04
GW23,30/10/2019,10.2,6.5,10,1,10,45,120,180,7.83,235,1.1,625,1.8,3,1.5,0.04
SW19,5/05/2021,1.01,0.52,1.01,1,4,7,21,32,6.85,26,0.6,60,0.22,1,1.3,0.016
SW19,5/05/2021,1.89,1.31,1.89,3,7,30,23,63,6.85,26,0.6,60,0.22,1,1.3,0.016
SW19,5/05/2021,4.1,3.6,4.1,7,15,33,13,68,6.85,26,0.6,60,0.22,1,1.3,0.016
SW19,5/05/2021,6.4,5.4,6.4,11,21,32,10,74,6.85,26,0.6,60,0.22,1,1.3,0.016
SW19,5/05/2021,10.6,9.2,10.6,18,32,35,10,95,6.85,26,0.6,60,0.22,1,1.3,0.016
GW24,2/07/2020,0.99,0.38,1.02,1,1,1,1,4,6.91,198,18,465,1.2,120,2.4,0.067
GW24,2/07/2020,1.85,0.15,1.89,2,1,2,3,7,6.91,198,18,465,1.2,120,2.4,0.067
GW24,2/07/2020,4.2,2.3,4.3,3,2,5,24,34,6.91,198,18,465,1.2,120,2.4,0.067
GW24,2/07/2020,5.7,0.37,6,6,4,23,89,120,6.91,198,18,465,1.2,120,2.4,0.067
GW24,2/07/2020,9.6,3.8,10.2,4,11,79,230,320,6.91,198,18,465,1.2,120,2.4,0.067
GW25,2/07/2020,0.99,0.17,1.02,3,1,1,1,4,6.64,73,17,160,0.42,110,3,0.24
GW25,2/07/2020,1.85,0.88,1.89,4,2,2,2,10,6.64,73,17,160,0.42,110,3,0.24
GW25,2/07/2020,4.2,0.56,4.3,9,12,33,26,80,6.64,73,17,160,0.42,110,3,0.24
GW25,2/07/2020,5.7,1.66,6,26,67,92,33,220,6.64,73,17,160,0.42,110,3,0.24
GW25,2/07/2020,9.6,5.4,10.2,44,86,98,21,250,6.64,73,17,160,0.42,110,3,0.24
GW26,2/07/2020,0.99,0.05,1.02,3,1,1,1,4,6.68,36,4.4,65,0.18,34,4,0.17
GW26,2/07/2020,1.85,0.27,1.89,3,1,1,1,4,6.68,36,4.4,65,0.18,34,4,0.17
GW26,2/07/2020,4.2,0.57,4.3,31,18,5,1,54,6.68,36,4.4,65,0.18,34,4,0.17
GW26,2/07/2020,5.7,1.87,6,72,47,11,1,130,6.68,36,4.4,65,0.18,34,4,0.17
GW26,2/07/2020,9.6,5.3,10.2,150,73,15,1,240,6.68,36,4.4,65,0.18,34,4,0.17
GW27,6/05/2019,1.05,0.13,1.08,1,1,1,4,6,,,,,,,,
GW27,6/05/2019,2,0.25,2,1,1,2,9,12,,,,,,,,
GW27,6/05/2019,4.2,1.75,4.3,1,7,23,31,61,,,,,,,,
GW27,6/05/2019,5.9,4,6.9,3,12,27,23,65,,,,,,,,
GW27,6/05/2019,10.6,7.4,10.4,6,16,26,15,63,,,,,,,,
GW28,7/05/2019,1.05,0.1,1.08,1,1,1,3,5,,,,,,,,
GW28,7/05/2019,2,0.24,2,1,1,2,8,11,,,,,,,,
GW28,7/05/2019,4.2,1.7,4.3,1,6,20,27,53,,,,,,,,
GW28,7/05/2019,5.9,4.1,6.9,1,12,26,21,59,,,,,,,,
GW28,7/05/2019,10.6,8.1,10.4,6,18,28,16,68,,,,,,,,
GW29,26/05/2021,0.93,0.09,0.93,1,1,1,1,4,,,,,,,,
GW29,26/05/2021,1.95,0.15,1.98,1,1,1,1,4,,,,,,,,
GW29,26/05/2021,3.7,0.84,3.9,1,1,1,1,4,,,,,,,,
GW29,26/05/2021,5.6,1.82,5.6,1,1,1,1,4,,,,,,,,
GW29,26/05/2021,9.6,4.7,9.8,1,1,1,1,4,,,,,,,,
GW30,27/05/2019,0.93,0.71,0.93,1,1,3,11,14,,,,,,,,
GW30,27/05/2019,1.81,1.63,1.82,1,1,5,7,13,,,,,,,,
GW30,27/05/2019,4.1,3.5,3.9,1,3,6,5,14,,,,,,,,
GW30,27/05/2019,5.8,5.5,6.2,2,3,5,3,13,,,,,,,,
GW30,27/05/2019,9.4,9.4,10.2,3,5,6,3,17,,,,,,,,
GW31,22/11/2019,1.01,1.27,1.12,15,35,63,35,150,7.92,85,0.3,115,0.04,1,1.5,0.03
GW31,22/11/2019,1.9,2.01,1.88,19,41,72,40,170,7.92,85,0.3,115,0.04,1,1.5,0.03
GW31,22/11/2019,3.8,4.6,4,26,42,65,35,170,7.92,85,0.3,115,0.04,1,1.5,0.03
GW31,22/11/2019,5.3,6.3,5.9,30,43,66,36,180,7.92,85,0.3,115,0.04,1,1.5,0.03
GW31,22/11/2019,9.4,10.2,9.8,40,45,67,37,190,7.92,85,0.3,115,0.04,1,1.5,0.03
SW20,11/03/2020,0.92,0.86,0.96,1,5,16,68,89,,,,,,,,
SW20,11/03/2020,2,1.8,2,1,7,29,59,95,,,,,,,,
SW20,11/03/2020,2.8,3,2.9,1,9,32,47,88,,,,,,,,
SW20,11/03/2020,3.8,4.2,3.9,1,11,36,46,93,,,,,,,,
SW21,11/03/2020,0.92,0.92,0.96,1,10,35,71,120,,,,,,,,
SW21,11/03/2020,2,1.72,2,2,13,45,56,120,,,,,,,,
SW21,11/03/2020,2.8,2.7,2.9,5,16,45,50,120,,,,,,,,
SW21,11/03/2020,3.8,4.2,3.9,2,17,48,45,110,,,,,,,,
SW22,11/03/2020,0.92,1.01,0.96,3,18,55,61,140,,,,,,,,
SW22,11/03/2020,2,1.88,2,4,21,57,55,140,,,,,,,,
SW22,11/03/2020,2.8,3.6,2.9,8,23,62,56,150,,,,,,,,
SW22,11/03/2020,3.8,4.3,3.9,8,25,61,54,150,,,,,,,,
GW32,7/07/2021,1.03,0.02,1.03,1,1,5,15,20,7.02,82,1.2,120,0.34,4,1.3,0.047
GW32,7/07/2021,1.82,1.02,1.82,3,10,37,53,120,7.02,82,1.2,120,0.34,4,1.3,0.047
GW32,7/07/2021,3.8,2.7,3.8,7,29,65,38,140,7.02,82,1.2,120,0.34,4,1.3,0.047
GW32,7/07/2021,5.8,4.4,5.8,14,43,68,29,150,7.02,82,1.2,120,0.34,4,1.3,0.047
GW32,7/07/2021,9.4,8,9.4,20,52,67,22,160,7.02,82,1.2,120,0.34,4,1.3,0.047
GW33,7/07/2021,1.03,0.83,1.03,1,2,7,33,42,6.92,92,0.4,150,0.44,1,0.5,0.014
GW33,7/07/2021,1.82,1.55,1.82,1,3,8,20,31,6.92,92,0.4,150,0.44,1,0.5,0.014
GW33,7/07/2021,3.8,4.8,3.8,1,7,13,20,40,6.92,92,0.4,150,0.44,1,0.5,0.014
GW33,7/07/2021,5.8,5.9,5.8,1,9,13,17,40,6.92,92,0.4,150,0.44,1,0.5,0.014
GW33,7/07/2021,9.4,9,9.4,3,11,13,12,39,6.92,92,0.4,150,0.44,1,0.5,0.014
GW34,16/06/2021,0.98,0.12,0.98,2,2,2,2,8,7.02,70,0.3,95,0.24,9,2,0.085
GW34,16/06/2021,1.93,0.68,1.93,6,8,15,9,38,7.02,70,0.3,95,0.24,9,2,0.085
GW34,16/06/2021,4.1,2.6,4.1,27,50,44,9,130,7.02,70,0.3,95,0.24,9,2,0.085
GW34,16/06/2021,6.1,4.4,6.1,34,59,45,8,150,7.02,70,0.3,95,0.24,9,2,0.085
GW34,16/06/2021,10,9,10,47,69,47,7,170,7.02,70,0.3,95,0.24,9,2,0.085
GW35,16/06/2021,0.98,0.77,0.98,1,1,9,39,49,7.34,83,0.1,130,0.38,1,0.5,0.016
GW35,16/06/2021,1.93,1.68,1.93,1,4,17,25,46,7.34,83,0.1,130,0.38,1,0.5,0.016
GW35,16/06/2021,4.1,3.8,4.1,1,9,22,19,51,7.34,83,0.1,130,0.38,1,0.5,0.016
GW35,16/06/2021,6.1,5.8,6.1,3,11,25,17,56,7.34,83,0.1,130,0.38,1,0.5,0.016
GW35,16/06/2021,10,10.2,10,5,14,21,12,52,7.34,83,0.1,130,0.38,1,0.5,0.016
GW36,19/03/2021,1.14,0.66,3.9,1,1,2,23,25,5.89,178,4.3,450,1.3,1,0.5,0.009
GW36,19/03/2021,2.1,1.49,1,1,1,4,23,27,5.89,178,4.3,450,1.3,1,0.5,0.009
GW36,19/03/2021,4.5,3.7,1.8,1,2,10,18,30,5.89,178,4.3,450,1.3,1,0.5,0.009
GW36,19/03/2021,7,5.9,3.8,1,3,10,14,27,5.89,178,4.3,450,1.3,1,0.5,0.009
GW36,19/03/2021,11.8,10,5.8,1,4,11,10,25,5.89,178,4.3,450,1.3,1,0.5,0.009
SW23,14/05/2021,1.03,0.13,0.96,32,4,1,1,36,7.27,8,4.2,14,0.03,13,5.8,0.11
SW23,14/05/2021,1.83,0.9,2,40,4,1,1,44,7.27,8,4.2,14,0.03,13,5.8,0.11
SW23,14/05/2021,4.2,2.8,2.9,140,12,1,1,150,7.27,8,4.2,14,0.03,13,5.8,0.11
SW23,14/05/2021,5.9,4.2,3.9,240,18,1,1,260,7.27,8,4.2,14,0.03,13,5.8,0.11
SW23,14/05/2021,9.6,7.7,1,370,25,1,1,400,7.27,8,4.2,14,0.03,13,5.8,0.11
SW24,14/05/2021,1.03,0.5,2,27,4,2,1,33,7.23,7,2.6,14,0.03,5,6.8,0.057
SW24,14/05/2021,1.83,1.32,2.9,55,6,3,1,64,7.23,7,2.6,14,0.03,5,6.8,0.057
SW24,14/05/2021,4.2,3.3,3.9,110,9,3,1,120,7.23,7,2.6,14,0.03,5,6.8,0.057
SW24,14/05/2021,5.9,4.7,1,110,9,3,1,130,7.23,7,2.6,14,0.03,5,6.8,0.057
SW24,14/05/2021,9.6,10,1.8,170,12,3,1,190,7.23,7,2.6,14,0.03,5,6.8,0.057
SW25,9/08/2019,1.01,0.04,1.02,12,12,9,3,36,6.66,95,3.3,265,0.6,39,10,0.26
SW25,9/08/2019,2.1,0.08,2.3,18,28,34,15,95,6.66,95,3.3,265,0.6,39,10,0.26
SW25,9/08/2019,4.5,1.17,4.6,54,85,97,25,260,6.66,95,3.3,265,0.6,39,10,0.26
SW25,9/08/2019,6.9,3.3,7.1,100,130,130,26,390,6.66,95,3.3,265,0.6,39,10,0.26
SW25,9/08/2019,11.4,7.5,11.6,170,180,130,24,500,6.66,95,3.3,265,0.6,39,10,0.26
SW26,9/08/2019,1.01,0.05,1.02,9,8,7,5,29,7.34,103,0.1,280,0.58,7,5.2,0.096
SW26,9/08/2019,2.1,0.18,2.3,11,18,29,32,90,7.34,103,0.1,280,0.58,7,5.2,0.096
SW26,9/08/2019,4.5,1.86,4.6,25,58,100,48,230,7.34,103,0.1,280,0.58,7,5.2,0.096
SW26,9/08/2019,6.9,4.3,7.1,55,98,130,46,330,7.34,103,0.1,280,0.58,7,5.2,0.096
SW26,9/08/2019,11.4,8,11.6,110,150,130,39,430,7.34,103,0.1,280,0.58,7,5.2,0.096
GW37,7/06/2019,1.1,0.98,1.13,1,1,18,52,71,,,,,,,,
GW37,7/06/2019,2.08,1.75,2.12,1,6,19,18,44,,,,,,,,
GW37,7/06/2019,4.3,3.8,4.5,3,19,36,18,76,,,,,,,,
GW37,7/06/2019,6.4,6,6.7,3,11,16,6,36,,,,,,,,
GW37,7/06/2019,9.8,10,10.6,11,29,25,5,70,,,,,,,,
SW27,4/05/2021,1.01,0.67,1.01,1,3,7,69,79,,,,,,,,
SW27,4/05/2021,1.89,1.6,1.89,1,5,34,69,110,,,,,,,,
SW27,4/05/2021,4.1,3.9,4.1,3,9,41,35,88,,,,,,,,
SW27,4/05/2021,6.4,5.7,6.4,6,13,43,30,92,,,,,,,,
SW27,4/05/2021,10.6,9.8,10.6,9,21,43,26,99,,,,,,,,
SW28,16/02/2021,0.96,1.39,0.98,46,51,49,17,160,,,,,,,,
SW28,16/02/2021,1.86,2.4,1.91,46,48,45,16,160,,,,,,,,
SW28,16/02/2021,4.1,4.2,4.3,68,58,50,17,190,,,,,,,,
SW28,16/02/2021,6,6,6.2,79,59,50,17,200,,,,,,,,
SW28,16/02/2021,9.8,10,10.2,110,66,51,17,240,,,,,,,,
SW29,16/02/2021,0.96,1.56,0.98,52,62,56,18,190,6.9,40,1.5,100,0.02,1,4,0.024
SW29,16/02/2021,1.86,2.6,1.91,54,60,53,17,180,6.9,40,1.5,100,0.02,1,4,0.024
SW29,16/02/2021,4.1,4.6,4.3,54,46,41,14,160,6.9,40,1.5,100,0.02,1,4,0.024
SW29,16/02/2021,6,6.4,6.2,82,68,55,17,220,6.9,40,1.5,100,0.02,1,4,0.024
SW29,16/02/2021,9.8,8.8,10.2,110,76,60,18,260,6.9,40,1.5,100,0.02,1,4,0.024
SW30,7/05/2019,1.05,1.87,1.08,38,48,36,9,130,7.81,29,0.2,70,0.02,1,2.6,0.031
SW30,7/05/2019,2,3.5,2,43,50,36,9,140,7.81,29,0.2,70,0.02,1,2.6,0.031
SW30,7/05/2019,4.2,5.6,4.3,55,56,39,9,160,7.81,29,0.2,70,0.02,1,2.6,0.031
SW30,7/05/2019,5.9,6.9,6.9,56,54,39,9,160,7.81,29,0.2,70,0.02,1,2.6,0.031
SW30,7/05/2019,10.6,11.6,10.4,67,58,35,9,170,7.81,29,0.2,70,0.02,1,2.6,0.031
SW31,5/02/2020,0.94,0.25,0.96,8,10,9,2,29,7.46,20,0.1,33,0.12,3,4,0.066
SW31,5/02/2020,1.75,1.06,1.78,24,26,18,2,70,7.46,20,0.1,33,0.12,3,4,0.066
SW31,5/02/2020,3.9,3,4.1,51,37,20,2,110,7.46,20,0.1,33,0.12,3,4,0.066
SW31,5/02/2020,5.6,4.5,6,110,52,23,2,190,7.46,20,0.1,33,0.12,3,4,0.066
SW31,5/02/2020,9.6,9,9.8,140,58,24,1,220,7.46,20,0.1,33,0.12,3,4,0.066
SW32,3/04/2019,1.01,1.01,1.01,55,41,27,4,130,6.97,24,0.5,60,0.02,1,2.6,0.018
SW32,3/04/2019,2.2,1.85,2.1,64,44,28,5,140,6.97,24,0.5,60,0.02,1,2.6,0.018
SW32,3/04/2019,4.2,4.1,4.4,83,50,30,5,170,6.97,24,0.5,60,0.02,1,2.6,0.018
SW32,3/04/2019,6,6.3,6.1,89,51,30,5,180,6.97,24,0.5,60,0.02,1,2.6,0.018
SW32,3/04/2019,10,11,9.8,120,58,30,5,210,6.97,24,0.5,60,0.02,1,2.6,0.018
SW33,1/06/2021,0.96,0.92,0.99,20,33,39,15,110,7.36,28,0.2,70,0.02,1,2,0.014
SW33,1/06/2021,1.89,1.74,1.9,25,36,38,15,110,7.36,28,0.2,70,0.02,1,2,0.014
SW33,1/06/2021,3.9,3.6,3.9,29,42,42,15,130,7.36,28,0.2,70,0.02,1,2,0.014
SW33,1/06/2021,5.5,5.5,5.6,38,50,46,16,150,7.36,28,0.2,70,0.02,1,2,0.014
SW33,1/06/2021,9,9.2,9.2,51,55,46,15,170,7.36,28,0.2,70,0.02,1,2,0.014
SW34,4/03/2020,0.91,1.11,0.91,1,5,27,76,110,7.89,122,0.1,110,0.02,1,0.9,0.012
SW34,4/03/2020,1.75,1.98,1.75,1,8,29,65,100,7.89,122,0.1,110,0.02,1,0.9,0.012
SW34,4/03/2020,3.5,4,3.5,12,12,32,72,130,7.89,122,0.1,110,0.02,1,0.9,0.012
SW34,4/03/2020,5.5,5.8,5.5,5,14,32,68,120,7.89,122,0.1,110,0.02,1,0.9,0.012
SW34,4/03/2020,10,9.8,10,8,20,32,66,130,7.89,122,0.1,110,0.02,1,0.9,0.012
GW38,4/03/2021,1.03,0.98,1.03,1,1,1,11,12,,,,,,,,
GW38,4/03/2021,1.92,1.95,1.92,1,1,3,9,12,,,,,,,,
GW38,4/03/2021,3.9,3.4,3.9,1,1,6,7,14,,,,,,,,
GW38,4/03/2021,5.9,5.8,5.9,1,2,6,5,13,,,,,,,,
GW38,4/03/2021,9.6,10.2,9.6,1,4,8,4,16,,,,,,,,
SW35,15/05/2019,1.06,0.77,1.07,24,38,42,32,140,8.72,32,0.5,75,0.1,1,2.8,0.027
SW35,15/05/2019,1.88,1.61,1.92,34,59,61,28,180,8.72,32,0.5,75,0.1,1,2.8,0.027
SW35,15/05/2019,4.6,3.7,4.7,48,77,67,22,210,8.72,32,0.5,75,0.1,1,2.8,0.027
SW35,15/05/2019,6.2,5.8,6.5,60,85,67,19,230,8.72,32,0.5,75,0.1,1,2.8,0.027
SW35,15/05/2019,10.6,10.4,11,73,91,58,14,240,8.72,32,0.5,75,0.1,1,2.8,0.027
GW39,13/12/2019,0.89,0.02,0.93,1,1,1,1,4,6.34,61,17,145,0.38,3,1.3,0.053
GW39,13/12/2019,2.1,0.02,2,1,1,1,1,4,6.34,61,17,145,0.38,3,1.3,0.053
GW39,13/12/2019,4,0.13,4.1,1,2,6,13,21,6.34,61,17,145,0.38,3,1.3,0.053
GW39,13/12/2019,5.9,1.67,6.1,5,18,44,33,100,6.34,61,17,145,0.38,3,1.3,0.053
GW39,13/12/2019,11.6,5.4,11.2,15,29,41,16,100,6.34,61,17,145,0.38,3,1.3,0.053
GW40,13/12/2019,0.93,0.53,0.93,1,2,4,4,10,6.18,42,0.7,90,0.24,5,1.6,0.19
GW40,13/12/2019,2,0.75,2,4,11,19,9,43,6.18,42,0.7,90,0.24,5,1.6,0.19
GW40,13/12/2019,4.1,1.96,4.1,21,38,37,8,100,6.18,42,0.7,90,0.24,5,1.6,0.19
GW40,13/12/2019,6.1,4.2,6.1,35,45,37,6,120,6.18,42,0.7,90,0.24,5,1.6,0.19
GW40,13/12/2019,11.2,7.9,11.2,40,47,32,4,120,6.18,42,0.7,90,0.24,5,1.6,0.19
GW41,17/02/2021,0.98,0.52,0.98,1,2,3,1,5,,,,,,,,
GW41,17/02/2021,1.02,0.43,1.02,1,6,12,13,31,,,,,,,,
GW41,17/02/2021,3.9,2.1,3.9,18,53,80,28,180,,,,,,,,
GW41,17/02/2021,5.8,3.7,5.8,34,72,84,20,210,,,,,,,,
GW41,17/02/2021,9.8,8.4,9.8,53,89,84,14,240,,,,,,,,
GW42,4/06/2020,0.88,0.06,0.92,2,1,1,1,3,,,,,,,,
GW42,4/06/2020,2,0.24,2,3,3,5,6,17,,,,,,,,
GW42,4/06/2020,3.6,1.14,3.6,14,40,72,29,160,,,,,,,,
GW42,4/06/2020,5.7,3.3,5.8,27,64,82,21,190,,,,,,,,
GW42,4/06/2020,9.2,6.8,9.2,40,73,76,12,200,,,,,,,,
GW43,23/02/2021,0.86,0.05,0.88,1,1,2,1,4,,,,,,,,
GW43,23/02/2021,1.86,0.14,1.89,1,7,12,10,29,,,,,,,,
GW43,23/02/2021,4,1.76,4,21,47,64,17,150,,,,,,,,
GW43,23/02/2021,6.1,3.6,6.1,45,76,77,13,210,,,,,,,,
GW43,23/02/2021,10,8,10.2,62,81,67,10,220,,,,,,,,
GW44,18/02/2020,0.86,0,0.88,1,1,1,1,4,,,,,,,,
GW44,18/02/2020,1.86,0.18,1.89,1,1,4,14,19,,,,,,,,
GW44,18/02/2020,4,1.54,4,4,24,67,51,150,,,,,,,,
GW44,18/02/2020,6.1,3,6.1,12,41,71,29,150,,,,,,,,
GW44,18/02/2020,10,7.8,10.2,20,50,63,17,150,,,,,,,,
